"","Canton_num","Days_Difference","Type_num","Customer_Segment_num","Category_num","Nr_rooms","Package_Product_num","GDP_2020_21","GDP_per","Population","Area_km2","Density","Size_m2","Price_Gross"
"171",2,18,1,2,1,3.5,4,28176,67936,416347,1494,279,77,1140
"172",2,1,1,1,1,4,1,28176,67936,416347,1494,279,80,1805
"173",2,139.041666666667,1,1,1,4,1,28176,67936,416347,1494,279,80,2300
"174",2,152.041666666667,1,1,1,4.5,1,28176,67936,416347,1494,279,122,2260
"175",2,0,1,1,1,2.5,1,28176,67936,416347,1494,279,65,600
"176",2,35,1,1,1,5.5,1,28176,67936,416347,1494,279,125,2300
"177",2,139.041666666667,1,1,1,4,1,28176,67936,416347,1494,279,80,2300
"178",2,28,1,1,1,3,1,28176,67936,416347,1494,279,59,1320
"179",2,0,1,1,1,2.5,1,28176,67936,416347,1494,279,67,700
"180",2,2,1,1,1,2,1,28176,67936,416347,1494,279,39,1150
"181",2,5,1,2,1,3.5,3,28176,67936,416347,1494,279,100,2245
"182",2,0,1,1,1,4.5,1,28176,67936,416347,1494,279,122,1000
"183",2,93.0416666666667,1,1,1,4.5,1,28176,67936,416347,1494,279,115,1750
"184",2,59,1,1,1,4.5,1,28176,67936,416347,1494,279,115,1850
"185",2,0,1,1,1,3,1,28176,67936,416347,1494,279,59,1320
"186",2,0,1,1,1,2.5,1,28176,67936,416347,1494,279,54,6800
"187",2,20,1,1,1,3,1,28176,67936,416347,1494,279,72,1485
"188",2,27,1,1,1,3,1,28176,67936,416347,1494,279,59,1320
"189",2,8,1,1,1,2.5,1,28176,67936,416347,1494,279,79,1660
"190",2,0,1,1,1,2,1,28176,67936,416347,1494,279,39,1500
"191",2,8,1,1,1,3.5,1,28176,67936,416347,1494,279,115,2190
"192",2,0,1,1,1,2.5,1,28176,67936,416347,1494,279,65,600
"193",2,31,1,1,1,4,1,28176,67936,416347,1494,279,65,1480
"194",2,25,1,1,1,3,1,28176,67936,416347,1494,279,59,1320
"195",2,0,1,1,1,3,1,28176,67936,416347,1494,279,59,1320
"196",2,27,1,1,1,4,1,28176,67936,416347,1494,279,65,1480
"197",2,0,1,1,1,3.5,1,28176,67936,416347,1494,279,98,720
"198",2,0,1,1,1,1.5,1,28176,67936,416347,1494,279,32,960
"199",2,52,1,1,1,3,1,28176,67936,416347,1494,279,59,1320
"200",2,0,1,1,1,3.5,1,28176,67936,416347,1494,279,112,850
"201",2,156.041666666667,1,1,1,3.5,1,28176,67936,416347,1494,279,100,1720
"202",2,39,1,1,1,4.5,1,28176,67936,416347,1494,279,109,2020
"203",2,0,1,1,1,2.5,1,28176,67936,416347,1494,279,48,3200
"204",2,12,1,1,1,3.5,1,28176,67936,416347,1494,279,68,1750
"205",2,0,1,1,1,4.5,1,28176,67936,416347,1494,279,106,1500
"206",2,0,1,1,1,4.5,1,28176,67936,416347,1494,279,136,2400
"207",2,32,1,2,1,3.5,3,28176,67936,416347,1494,279,140,2199
"208",2,97.0416666666667,1,1,1,4.5,1,28176,67936,416347,1494,279,115,1900
"209",2,0,1,1,1,3.5,1,28176,67936,416347,1494,279,99,1570
"210",2,45,1,1,1,3.5,1,28176,67936,416347,1494,279,86,1640
"211",2,0,1,1,1,3.5,1,28176,67936,416347,1494,279,112,750
"212",2,0,1,1,1,4,1,28176,67936,416347,1494,279,65,1480
"213",2,8,1,1,1,3.5,1,28176,67936,416347,1494,279,100,1850
"214",2,0,1,1,1,3,1,28176,67936,416347,1494,279,47,1950
"215",2,0,1,1,1,4.5,1,28176,67936,416347,1494,279,126,1300
"216",2,61,1,1,1,3,1,28176,67936,416347,1494,279,72,1540
"217",2,112.041666666667,1,1,1,4.5,1,28176,67936,416347,1494,279,109,2020
"218",2,48,1,1,1,5.5,1,28176,67936,416347,1494,279,125,2300
"219",2,7,1,1,1,2.5,1,28176,67936,416347,1494,279,69,1450
"220",2,77,1,1,1,3.5,1,28176,67936,416347,1494,279,113,1970
"221",2,6,1,2,1,4.5,4,28176,67936,416347,1494,279,121,2180
"222",2,91,1,1,1,4,1,28176,67936,416347,1494,279,85,1200
"223",2,94,1,1,1,3,1,28176,67936,416347,1494,279,75,950
"224",2,13,1,1,1,3.5,1,28176,67936,416347,1494,279,107,2180
"225",2,66.9583333333333,1,1,1,3.5,1,28176,67936,416347,1494,279,86,1670
"226",2,0,1,1,1,2.5,1,28176,67936,416347,1494,279,65,700
"227",2,248.041666666667,1,1,1,5.5,1,28176,67936,416347,1494,279,125,2330
"228",2,9,1,1,1,3,1,28176,67936,416347,1494,279,59,1320
"229",3,13,1,1,1,1.5,1,149004,96359,1553423,1729,898,32,1069
"230",3,0,1,1,1,2.5,1,149004,96359,1553423,1729,898,61,700
"231",3,18,1,2,1,5.5,2,149004,96359,1553423,1729,898,137,1990
"232",3,0,1,1,1,2.5,1,149004,96359,1553423,1729,898,67,750
"233",3,2,1,1,1,4.5,1,149004,96359,1553423,1729,898,115,900
"234",3,1,1,2,1,2.5,2,149004,96359,1553423,1729,898,65,2880
"235",3,42,1,1,1,2.5,1,149004,96359,1553423,1729,898,62,1530
"236",3,9.04166666666667,1,1,1,4.5,1,149004,96359,1553423,1729,898,70,1769
"237",3,2,1,2,1,1,2,149004,96359,1553423,1729,898,30,1080
"238",3,0,1,1,1,4.5,1,149004,96359,1553423,1729,898,115,1400
"239",3,15,1,2,1,3.5,3,149004,96359,1553423,1729,898,80,1550
"240",3,2,1,2,1,3,3,149004,96359,1553423,1729,898,55,1300
"241",3,0,1,1,1,3.5,1,149004,96359,1553423,1729,898,100,900
"242",3,1,1,1,1,2,1,149004,96359,1553423,1729,898,62,2940
"243",3,0,1,1,1,3.5,1,149004,96359,1553423,1729,898,108,900
"244",3,57,1,2,1,5.5,3,149004,96359,1553423,1729,898,140,3100
"245",3,0,1,1,1,3.5,1,149004,96359,1553423,1729,898,98,825
"246",3,0,1,1,1,2.5,1,149004,96359,1553423,1729,898,70,750
"247",3,10,1,2,1,4.5,2,149004,96359,1553423,1729,898,120,2280
"248",3,2,1,1,1,3.5,1,149004,96359,1553423,1729,898,111,900
"249",3,2,1,2,1,3,2,149004,96359,1553423,1729,898,66,1493
"250",3,24,1,1,1,2.5,1,149004,96359,1553423,1729,898,61,1139
"251",3,36,1,2,2,7.5,4,149004,96359,1553423,1729,898,178,5200
"252",3,0,1,1,1,1.5,1,149004,96359,1553423,1729,898,45,600
"253",3,0,1,1,1,3,1,149004,96359,1553423,1729,898,64,2900
"254",3,22,1,2,1,3.5,3,149004,96359,1553423,1729,898,100,1550
"255",3,6,1,2,1,4.5,2,149004,96359,1553423,1729,898,120,2495
"256",3,41,1,2,1,2,2,149004,96359,1553423,1729,898,58,1540
"257",3,6,1,2,1,4.5,4,149004,96359,1553423,1729,898,103,3300
"258",3,29,1,2,2,6.5,3,149004,96359,1553423,1729,898,180,5600
"259",3,0,1,1,1,4.5,1,149004,96359,1553423,1729,898,115,700
"260",3,42,1,1,1,5.5,1,149004,96359,1553423,1729,898,95,2090
"261",3,6,1,1,1,4.5,1,149004,96359,1553423,1729,898,103,2770
"262",3,11,1,2,1,3.5,4,149004,96359,1553423,1729,898,100,1980
"263",3,3,1,1,1,3.5,1,149004,96359,1553423,1729,898,63,1960
"264",3,0,1,1,1,1.5,1,149004,96359,1553423,1729,898,46,900
"265",3,10,1,1,1,3.5,1,149004,96359,1553423,1729,898,65,1650
"266",3,3,1,1,1,4.5,1,149004,96359,1553423,1729,898,90,1950
"267",3,0,1,1,1,4.5,1,149004,96359,1553423,1729,898,96,2380
"268",3,10,1,1,1,3.5,1,149004,96359,1553423,1729,898,90,1930
"269",3,11,1,1,1,2.5,1,149004,96359,1553423,1729,898,59,1457
