PROPERTY_ID;FIRST_DAY_ONLINE;LAST_DAY_ONLINE;OFFER_TYPE;CUSTOMER_ID;CUSTOMER_SEGMENT;CATEGORY;PRICE_GROSS;SIZE_M2;GEO_CANTON;NUMBER_OF_ROOMS;PACKAGE_ID;PACKAGE_PRODUCT;;;;;;;;;;;;;;
0u5.kkxuf;2022-07-15;2022-07-15;RENT;22107;professional;APPT;2200;150;AG;4,5;1;subscription;;;;;;;;;;;;;;
0uc.pvzey;2022-10-08;2022-10-08;RENT;483334;professional;APPT;700;98;SG;3,5;17;subscription;;;;;;;;;;;;;;
0us.84w5q;2023-01-19;2023-01-19;BUY;447930;professional;APPT;;94;SG;4,5;7;subscription;;;;;;;;;;;;;;
0v2.yi9ia;2021-03-18;2021-05-18;RENT;443049;private;APPT;1100;;LU;2;31;basic;;;;;;;;;;;;;;
0ve.a4ckb;2022-09-20;2022-11-25;RENT;399101;professional;APPT;2440;84;BL;3,5;3;subscription;;;;;;;;;;;;;;
0vn.e52po;2022-02-01;2022-02-10;BUY;296886;professional;APPT;1550000;187;ZH;5,5;28;subscription;;;;;;;;;;;;;;
0wf.nrntb;2022-04-05;2022-04-05;RENT;389383;professional;APPT;2900;64;ZH;3;14;subscription;;;;;;;;;;;;;;
0wl.p8564;2022-03-23;2022-04-28;BUY;198009;professional;APPT;395000;28;GR;1;6;subscription;;;;;;;;;;;;;;
0wx.2wifn;2022-11-05;2022-12-22;BUY;28319;professional;HOUSE;650000;127;GR;8;7;subscription;;;;;;;;;;;;;;
0x0.x9ztu;2022-06-16;2022-07-12;RENT;449218;professional;APPT;1500;76;VD;3,5;11;subscription;;;;;;;;;;;;;;
0xc.2umrk;2022-11-07;2022-11-17;BUY;447930;professional;APPT;1050000;100;SG;4,5;7;subscription;;;;;;;;;;;;;;
0y2.vvp3m;2022-05-09;2022-06-02;RENT;358;professional;APPT;1139;61;ZH;2,5;7;subscription;;;;;;;;;;;;;;
0y7.1ukvu;2022-08-27;2022-08-27;RENT;439242;professional;APPT;800;115;ZG;4,5;22;subscription;;;;;;;;;;;;;;
0ye.sif8w;2022-05-18;2022-05-23;BUY;447930;professional;APPT;1350000;133;SG;4,5;7;subscription;;;;;;;;;;;;;;
0z2.qepa4;2022-09-28;2022-10-10;BUY;447930;professional;HOUSE;940000;161;SG;5,5;7;subscription;;;;;;;;;;;;;;
0zk.53htz;2022-09-30;2022-10-10;RENT;102;professional;PARK;135;;ZH;;2;subscription;;;;;;;;;;;;;;
108.ef8zo;2023-01-27;2023-01-27;RENT;53127;professional;APPT;800;30;TI;1;8;subscription;;;;;;;;;;;;;;
10c.79hyw;2022-11-03;2022-11-25;BUY;444508;professional;APPT;730000;80;ZH;2,5;28;subscription;;;;;;;;;;;;;;
10d.eg7mu;2022-08-31;2022-10-10;RENT;206711;professional;APPT;1100;43;VS;2,5;8;subscription;;;;;;;;;;;;;;
10i.m1fhv;2022-08-16;2022-09-05;BUY;393346;professional;APPT;905000;65;GE;3;21;subscription;;;;;;;;;;;;;;
10x.v4el6;2021-04-13;2021-06-10;RENT;447897;private;INDUS;2050;90;ZH;4,5;32;middle;;;;;;;;;;;;;;
11d.oob9n;2022-08-13;2022-08-13;RENT;516;professional;APPT;700;98;BL;3,5;13;subscription;;;;;;;;;;;;;;
126.c8epo;2022-10-08;2022-10-08;RENT;483334;professional;APPT;970;97;ZH;3,5;17;subscription;;;;;;;;;;;;;;
12b.edc3q;2022-06-13;2022-06-13;BUY;53127;professional;APPT;490000;44;TI;1;8;subscription;;;;;;;;;;;;;;
12e.gprbs;2022-09-13;2022-09-22;BUY;447930;professional;APPT;590000;90;SG;3,5;7;subscription;;;;;;;;;;;;;;
12k.nwlrr;2022-09-28;2022-10-10;BUY;447930;professional;HOUSE;560000;150;;5;7;subscription;;;;;;;;;;;;;;
132.ggrgf;2023-01-21;2023-01-21;RENT;443598;private;APPT;1480;;AG;2,5;33;premium;;;;;;;;;;;;;;
13c.rfr6h;2022-06-29;2022-07-17;RENT;444199;private;APPT;1990;137;ZH;5,5;32;middle;;;;;;;;;;;;;;
14q.odjkv;2022-05-02;2022-05-18;RENT;615;professional;APPT;1630;58;ZH;3;20;subscription;;;;;;;;;;;;;;
153.8dxrx;2022-08-13;2022-08-13;RENT;516;professional;APPT;900;98;VD;3,5;13;subscription;;;;;;;;;;;;;;
15y.ki1vu;2022-05-09;2022-05-19;RENT;441;professional;APPT;1930;90;ZH;3,5;11;subscription;;;;;;;;;;;;;;
16y.lgqog;2022-06-03;2022-09-26;RENT;83612;professional;INDUS;;;SO;;21;subscription;;;;;;;;;;;;;;
177.9bja6;2022-04-19;2022-12-09;RENT;66113;professional;APPT;3120;;VD;4,5;14;subscription;;;;;;;;;;;;;;
17c.55q8l;2022-05-05;2022-06-07;BUY;111513;professional;PARK;80000;;ZH;;27;subscription;;;;;;;;;;;;;;
17l.22orj;2021-08-16;2021-08-16;RENT;392231;professional;APPT;;;SH;2,5;19;subscription;;;;;;;;;;;;;;
17s.mqpvu;2022-03-23;2022-03-29;RENT;298110;professional;APPT;1565;83;LU;4;1;subscription;;;;;;;;;;;;;;
18a.wvmbb;2021-09-08;2021-09-12;RENT;446413;private;APPT;1199;58;BE;2,5;32;middle;;;;;;;;;;;;;;
18p.v119c;2021-12-31;2022-01-02;RENT;487908;professional;APPT;920;50;ZH;2;20;subscription;;;;;;;;;;;;;;
193.bgk19;2022-10-08;2022-10-08;RENT;483334;professional;APPT;825;98;ZH;3,5;17;subscription;;;;;;;;;;;;;;
1a1.3bnro;2021-08-04;2021-08-19;RENT;485644;private;APPT;1550;80;ZH;3,5;31;basic;;;;;;;;;;;;;;
1a5.ezycp;2022-09-23;2023-01-10;BUY;206711;professional;APPT;1230000;74;VS;3,5;8;subscription;;;;;;;;;;;;;;
1ay.j3gh3;2021-05-06;2021-05-28;RENT;443059;private;APPT;1100;42;ZH;2;33;premium;;;;;;;;;;;;;;
1az.u12wj;2023-01-09;2023-01-09;RENT;22307;professional;APPT;2340;94;ZH;4,5;2;subscription;;;;;;;;;;;;;;
1b7.t9uqa;2022-08-04;2022-09-09;RENT;298556;professional;APPT;780;31;BS;1;2;subscription;;;;;;;;;;;;;;
1bu.enakv;2022-06-14;2022-06-30;RENT;13031;professional;APPT;2550;90;ZH;4,5;27;subscription;;;;;;;;;;;;;;
1c6.8tjf8;2022-08-30;2023-01-20;BUY;198009;professional;APPT;825000;65;GR;2,5;6;subscription;;;;;;;;;;;;;;
1cw.zy4o4;2022-08-13;2022-08-13;RENT;516;professional;APPT;920;98;BS;3,5;13;subscription;;;;;;;;;;;;;;
